寄生上流(台) / 上流寄生族(港),8.9
极恶对决(台) / 恶霸‧魔警‧杀人狂(港),7.7
追龙2 / 追龙2：追缉大富豪,5.5
霍布斯与肖 / 速度与激情外传,6.3
杀神John Wick 3(港) / 捍卫任务3：全面开战(台),8.0
Macau Is The Seat of The City / A City Called Macau,5.8
从前，有个荷里活(港) / 从前，有个好莱坞...(台),7.7
万千痛爱在一身(港) / Pain & Glory,8.6
Still Human,8.2
失控危城(台),8.4
